code_pro,wilaya,field,activity,description,processed_activity,processed_description,fuzzy_matched_official
UZRSAAL7,Blida,Services aux entreprises,"Électricité, fenêtres et portes en aluminium (pvc)","Électricité, fenêtres et portes en aluminium (pvc)",electricite fenetre porter aluminium pvc,electricite fenetre porter aluminium pvc,
M19ES7GV,Algiers,Services aux entreprises,Fabrication des caisse,Fabrication des caisse de transport velo  . Sonorisation.,fabrication caiss,fabrication caiss transport velo sonorisation,
MQ169LWP,Oran,Services à la personne,Technicien en courant faible,Tout type d’installation réseau informatique détection incendie anti intrusion video phone interphone téléphone standard électricité générale bâtiment intelligent  parabole collective modulaire,technicien courant faible,tout type dinstallation reseau informatique detection incendie anti intrusion video phone interphone telephone standard electricite general batiment intelligent parabol collective modulaire,
HUKA448P,Tizi Ouzou,Services aux entreprises,"Vente , installation et Maintunance des équipements electro-informatique, courant faible ,domotique ,home automation","Permet d'offrir le produit ( équipements bureautique, installation des systèmes d'alarme , incendie, intrusion, et installation domotique , maison intelligente, installation des automates (système de verrouillage et sécurité électronique) ..etc",vente installation maintunance equipement electroinformatiqu courant faible domotiqu home automation,permettre doffrir produit equipement bureautique installation systeme dalarme incendie intrusion installation domotiqu maison intelligent installation automate systeme verrouillage securite electroniqu etc,
N45RFYBK,Setif,Services à la personne,Restaurant,Restaurant,restaurer,restaurer,
B9T9CPC5,Tizi Ouzou,Prestations à domicile,Réglage de parabole et installation de démou,"Orientation des paraboles pour avoir une bonne qualité de signal. _x000D_
Installation des switches _x000D_
Fair la recherche des chaînes et radio des différents satellites._x000D_
La mise à jour des serveurs et le flachage des démo._x000D_
 Connecter les TV smart, les démo à a l'internet.",reglage parabol installation demou,orientation parabole avoir bon qualite signal _ xd _ installation switche _ xd _ fair recherche chaine radio different satellites_xd _ mise avoir jour serveur flachage demo_xd _ connecter tv smart demo avoir avoir linternet,
EE25KSTY,Algiers,,Fabrication de produits d'entretien pour véhicules,Produits d'entretiens d'une manière générale,fabrication produire dentretien vehicule,produit dentretien dune manier general,
DZ71DUVN,Tlemcen,Services aux entreprises,Travaux d'assistance comptable financier et informatique,Proposer une assistance informatique et  comptable et d'audit en finance  pour les petites et moyennes entreprises ainsi que les autres differents contribuables.,traval dassistance comptable financier informatique,proposer assistance informatique comptable daudit financ petit moyen entreprise ainsi autre different contribuable,
NKNP3AXB,Bejaia,,Arts-arts du spectacle,"Mise en scène_x000D_
Réalisation de films",artsart spectacle,mise scene_xd _ realisation film,
Q2M31SUA,Algiers,Prestations à domicile,Esthétique et beauté,Beauté de la femme et esthétique,esthetiqu beaut,beaut femme esthetiqu,
WD7WLX7F,Algiers,"Conseil, Expertise et formation",Expert Formateur en industrie,"- formation des ingénieurs d'inspection en intégrité des sites de stockage pétrolière._x000D_
- formation en contrôle qualité/ assurance qualité des installations industrielles._x000D_
- formation en risques industriels basé sur les inspections._x000D_
- expertise/ conseil/ formation en équipements sous pression, tuyauteries, bac de stockage._x000D_
Conformément aux normes et standards internationaux.",expert formateur industrie,formation ingenieur dinspection integrit site stockag petroliere_xd _ formation controle qualite assurance qualite installatier industrielles_xd _ formation risque industriel base inspections_xd _ expertise conseil formation equipements sou pression tuyauterier bac stockage_xd _ conformement norme standard international,
B3VMC9GL,Bejaia,Prestations à domicile,Plomberie,La plomberie,plomberie,plomberie,
5ZWKZMG8,Tizi Ouzou,,installateur fibre optique,installer la fibre optique pour les abonnes,installateur fibr optique,installer fibre optique abonne,
WH11UL34,Tizi Ouzou,,AFFICHAGE,Location d'espace publicitaire,affichage,location despace publicitaire,
K5E4GWB6,Algiers,Services à la personne,Aide pour la procédures de prise des rendez-vous et préparation dossier de visa,"Aidé les gens employés commencent a avoir des rendez-vous pour postulé a des visa et les Aidé a organiser leur dossier comme des formulaires des réservations d hotel et les photocopie, leur orienté part à port leur situation",aide procedure prise rendezvou preparation dossier visa,aide gen employe commencent avoir avoir rendezvou postul avoir viser aide avoir organiser dossier comme formulaire reservatier hotel photocopie orient part avoir port situation,
ZCRHXBL3,Bejaia,Prestations à domicile,Gâteaux traditionnel,Faire tout type de gâteaux traditionnel algérien,gateal traditionnel,faire tout type gateal traditionnel algerien,
Z8V64VEG,Algiers,Services numériques et activités connexes,Home automation système,Domotique,home automation systeme,domotiqu,
1LR4T3EE,Biskra,Services aux entreprises,services de relevé du bâti en Photogrammetrie et Lasergrametrie / Modélisation BIM,"Bonjour Je suis architecte spécialisé dans les relevés et la représentation des bâtiments et des sites historiques, je collabore avec des bureaux d’étude en Algérie et a l’étranger comme beaucoup d’autres de mes collègues et la seule solution pour nous d’avoir un statu en Algérie et d’avois le statut d’auto-entrepreneur._x000D_
Je propose ses services pour être inclus dans la parties Conseil, Expertise, et Formation : _x000D_
-	Pour l’opérateur photogrammètre (déjà existante sous le code 11002) je propose le d’ajouter « laser scanner », ou bien la change en « Relevé digital en photogrammétrie et laser scan »_x000D_
-	Modélisation en 3D des bâtiment (BIM)_x000D_
-	Représentation CAD (pour tout ce qui concerne le dessin des plans et les déférentes planches que les architectes et ingénieurs ont besoin)_x000D_
Je vous remercier d’avance de votre compréhension._x000D_
Cordialement._x000D_
Haroune",service relev bati photogrammetrie lasergrametrie modelisation bim,bonjour architecte specialise releve representation batiment site historique collabor bureal detude algerie avoir letranger comme beaucoup dautre collegue seul solution davoir statu algerie davois statut dautoentrepreneur_xd _ proposer service etre inclus party conseil expertis formation _ xd _ loperateur photogrammetre deja existant sou code proposer dajouter laser scanner bien change relev digital photogrammetrie laser scan _ xd _ modelisation batiment bim_xd _ representation cad tout concerner dessin plan deferente planche architecte ingenieur besoin_xd _ remercier davance comprehension_xd _ cordialement_xd _ haroune,
HWU16FUQ,Algiers,,petite production avec machine CNC,"cette activité réside en l'utilisation de petite machine de découpe a commande numérique (CNC), afin de produire des objet soit décorative ou qui ont une utilité  (en MDF, plexiglas, PVC ou autres matières)",petit production machine cnc,ce activite resid lutilisation petit machine decoupe avoir commande numeriqu cnc afin produire objet decorativ utilite mdf plexiglas pvc autre matiere,
98WGM6G1,Algiers,,Chorégraphie,L'art d'écrire la danse,choregraphie,lart decrire danse,
T5T7UMTD,Bejaia,,Arts-arts du spectacle,"Mise en scène_x000D_
Réalisation de films",artsart spectacle,mise scene_xd _ realisation film,
U11BVVLS,Constantine,"Conseil, Expertise et formation",je ne sais pas,bonjour j'aimerai savoir le code pour former des personnes en présidentiel,sai,bonjour jaimerai savoir code former personne presidentiel,
QPUQ2WG4,Algiers,Prestations à domicile,peintre en batiments,"Appliquer de la peinture ou des produits couvrants sur des matériaux ou des surfaces._x000D_
Poser des revêtements muraux, des vitres et des glaces et réaliser des travaux de décoration._x000D_
Réalisation de travaux d'apprêt (nettoiement, égrenage, ponçage)",peintr batiment,appliquer peinture produire couvrant material surfaces_xd _ poser revetement mural vitre glace realiser traval decoration_xd _ realisation traval dappret nettoiement egrenage poncage,
LHR1C45W,,Prestations à domicile,Vétérinaire,Vétérinaire a domicile sans cabinet,veterinair,veterinair avoir domicile sans cabinet,
XLENZRQ8,Setif,Services aux entreprises,Intermidiaire commercial (Trader),"cette activité consiste a trouver des fournisseurs au local ou a l'international pour une entreprise qui import des produits fini ou semi fin pour son industrie, ou trouver des clients pour une entreprise qui veux vendre ou exporter ces produits afin de booster l'exportation hors Hydrocarbures.bellouche",intermidiair commercial trader,ce activite consister avoir trouver fournisseur local avoir linternational entreprise import produire fini semi fin industrie trouver client entreprise veux vendre exporter produire afin booster lexportation hors hydrocarburesbellouche,
5X7MLUGP,Bejaia,Prestations à domicile,Décoration et rénovation de maison,"Décoration et rénovation de la maison. Cela signifie redécorer les maisons dans tout ce qui touche à l'éclairage, rénover les cuisines, par exemple, et réparer tout ce qui est nécessaire...",decoration renovation maison,decoration renovation maison celer signifier redecorer maison tout touche avoir leclairage renover cuisine exemple reparer tout necessair,
LP25A218,Algiers,,Boîte de communication,Boîte de communication,boit communication,boit communication,
H1X5TCY9,Biskra,"Conseil, Expertise et formation",services de relevé du bâti en Photogrammetrie et Lasergrametrie / Modélisation BIM,"Bonjour Je suis architecte spécialisé dans les relevés et la représentation des bâtiments et des sites historiques, je collabore avec des bureaux d’étude en Algérie et a l’étranger comme beaucoup d’autres de mes collègues et la seule solution pour nous d’avoir un statu en Algérie et d’avois le statut d’auto-entrepreneur._x000D_
Je propose ses services pour être inclus dans la parties Conseil, Expertise, et Formation : _x000D_
-	Pour l’opérateur photogrammètre (déjà existante sous le code 11002) je propose le d’ajouter « laser scanner », ou bien la change en « Relevé digital en photogrammétrie et laser scan »_x000D_
-	Modélisation en 3D des bâtiment (BIM)_x000D_
-	Représentation CAD (pour tout ce qui concerne le dessin des plans et les déférentes planches que les architectes et ingénieurs ont besoin)_x000D_
Je vous remercier d’avance de votre compréhension._x000D_
Cordialement._x000D_
Haroune",service relev bati photogrammetrie lasergrametrie modelisation bim,bonjour architecte specialise releve representation batiment site historique collabor bureal detude algerie avoir letranger comme beaucoup dautre collegue seul solution davoir statu algerie davois statut dautoentrepreneur_xd _ proposer service etre inclus party conseil expertis formation _ xd _ loperateur photogrammetre deja existant sou code proposer dajouter laser scanner bien change relev digital photogrammetrie laser scan _ xd _ modelisation batiment bim_xd _ representation cad tout concerner dessin plan deferente planche architecte ingenieur besoin_xd _ remercier davance comprehension_xd _ cordialement_xd _ haroune,
